"sp1" "sp2" "complete" "sympatric" "Genetic.Distance..Nei.s.D." "Premating.Isol." "Postm..Prez..Isolation" "Postzygotic.Isolation..Complete." "Postzygotic.Isolation..Partial." "Prem..Assymetry....0.25.weak..0.25.0.5.moderate..0.5.0.75.strong..0.75..extreme." "Prem...sp.1.fem..X.sp.2.males.." "Prem...sp.1.males.X.sp.2.fem..." "Postm..Prez..Assymetry" "Postm..Prez...sp..1.fem..x.sp.2.males." "Postm..Prez...sp.1.males.X.sp.2.fem..." "Postz..Assymetry" "Postz...sp..1.fem..x.sp.2.males." "Postz...sp.1.males.X.sp.2.fem..." "Postz..hybrid.fitness..cross.1.male..fem..cross2.male..fem.." "Pre.Symp." "Pre.Allop." "absolute.range..sp.1....in.square.km" "absolute.range..sp.2.." "relative.range.size..sp.1." "relative.range.size..sp.2." "natural.hybridization..No...0..Yes...1." "Habitat.and.other.details..sp1.sp2." "References" "mating.test.type" "sp.1.matings" "sp.1.fem..X.sp.2.males" "sp.1.males.X.sp.2.fem." "sp.2.matings" "Notes.about.matings"
"subobscura" "obscura" NA "1" "1.25" "1" NA NA NA "0" "1" "1" NA NA NA NA NA NA "none/none" NA NA "11771198" "6218392" "0.654333867531167" "0.345666132468833" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.90300000000000002" "0" "0" "0.82299999999999995" NA
"subobscura" "tristis" NA "1" "1.1000000000000001" "0.98273878020713468" NA NA NA "0" "0.98273878020713468" "0.98273878020713468" NA NA NA NA NA NA "?" NA NA "11771198" "2475400" "0.826246237873772" "0.173753762126228" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.90300000000000002" NA NA "0.83499999999999996" NA
"guanche" "madeirensis" NA "0" "0.78" NA NA NA NA NA NA NA NA NA NA NA NA NA "?" NA NA "12345" "772" "0.941145078905237" "0.0588549210947625" "0" "both laurisilva island forest endemics" "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997; Monclus 1984; Laukas et al. 1984  * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA NA NA NA NA NA
"hubeiensis" "sinobscura" "1" "0" "0.08" NA NA "0" "0" "0.72608695652173916" "0.45072463768115933" NA NA NA NA "0" "0" "0" "fertile, fertile/fertile, fertile" NA NA "459118" "16011" "0.966301783305166" "0.0336982166948345" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.47499999999999998" "0.379" "0.88" "0.90500000000000003" NA
"hubeiensis" "subobscura" NA "0" "0.64" "0.96081277213352689" NA NA NA NA "0.94629898403483315" "0.97532656023222064" NA NA NA NA NA NA "?" NA NA "459118" "11771198" "0.0375393407660113" "0.962460659233989" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.47499999999999998" NA NA "0.90300000000000002" NA
"hubeiensis" "ambigua" NA "0" "0.64" "0.96899224806201545" NA NA NA NA "1" "0.93798449612403101" NA NA NA NA NA NA "?" NA NA "459118" "4070172" "0.101366439331551" "0.898633560668449" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.47499999999999998" "0" "0.04" "0.81499999999999995" NA
"hubeiensis" "obscura" NA "0" "0.46" "1" NA NA NA "0" "1" "1" NA NA NA NA NA NA "?" NA NA "459118" "6218392" "0.068755868579755" "0.931244131420245" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.47499999999999998" "0" "0" "0.82299999999999995" NA
"hubeiensis" "tristis" NA "0" "0.64" "0.96793893129770991" NA NA NA NA "1" "0.93587786259541983" NA NA NA NA NA NA "?" NA NA "459118" "2475400" "0.156454313791907" "0.843545686208093" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.47499999999999998" "0" NA "0.83499999999999996" NA
"sinobscura" "subobscura" NA "0" "0.69299999999999995" "0.61891592920353977" NA NA NA "0.7002212389380531" "0.26880530973451322" "0.96902654867256632" NA NA NA NA NA NA "?" NA NA "16011" "11771198" "0.00135833682087083" "0.998641663179129" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.90500000000000003" "0.66100000000000003" NA "0.90300000000000002" NA
"sinobscura" "ambigua" NA "0" "0.69299999999999995" "0.94825581395348835" NA NA NA NA "0.91976744186046511" "0.97674418604651159" NA NA NA NA NA NA "?" NA NA "16011" "4070172" "0.00391832671223976" "0.99608167328776" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.90500000000000003" NA "0.02" "0.81499999999999995" NA
"sinobscura" "obscura" NA "0" "0.59299999999999997" "0.99421296296296291" NA NA NA NA "1" "0.98842592592592593" NA NA NA NA NA NA "?" NA NA "16011" "6218392" "0.00256816891689549" "0.997431831083105" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.90500000000000003" "0" "0.01" "0.82299999999999995" NA
"sinobscura" "tristis" NA "0" "0.80400000000000005" "0.78563218390804601" NA NA NA "0.31839080459770119" "0.62643678160919536" "0.94482758620689655" NA NA NA NA NA NA "?" NA NA "16011" "2475400" "0.0064264788106017" "0.993573521189398" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.90500000000000003" "0.32500000000000001" NA "0.83499999999999996" NA
"ambigua" "obscura" NA "1" "0.53500000000000003" "0.99389499389499392" NA NA NA NA "1" "0.98778998778998783" NA NA NA NA NA NA "none/none" NA NA "4070172" "6218392" "0.395601563055836" "0.604398436944164" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.81499999999999995" "0" "0.01" "0.82299999999999995" NA
"ambigua" "tristis" NA "1" "0.56000000000000005" "0.91515151515151516" NA NA NA NA "0.94787878787878788" "0.88242424242424244" NA NA NA NA NA NA "none/none" NA NA "4070172" "2475400" "0.621820675106775" "0.378179324893226" NA NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.81499999999999995" NA NA "0.83499999999999996" NA
"obscura" "tristis" NA "1" "0.47000000000000003" "0.98974668275030153" NA NA NA NA "1" "0.97949336550060317" NA NA NA NA NA NA "none/none" NA NA "6218392" "2475400" "0.715268090149845" "0.284731909850155" "0" NA " Watabe 1997; Lakovaara et al. 1976; Watabe et al. 1997; * D was averaged over the last 2 references; Lakovaara and Saura 1982" NA "0.82299999999999995" "0" NA "0.83499999999999996" NA
"pseudoobscura" "bifasciata Japan" NA "0" "1.95" "0.9419354838709677" NA NA NA "0.10322580645161283" "0.89032258064516134" "0.99354838709677418" NA NA NA NA NA NA "none/none" NA NA "4061961" "490302" "0.892294887180288" "0.107705112819712" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.60365853658536583" NA NA "0.34146341463414637" NA
"pseudoobscura" "imaii" NA "0" "1.95" "0.72368421052631571" NA NA NA "0.3771929824561403" "0.53508771929824561" "0.91228070175438591" NA NA NA NA NA NA "?" NA NA "4061961" "101592" "0.975599686133454" "0.0244003138665462" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.4329896907216495" "0.18213058419243985" NA "0.35051546391752575" NA
"pseudoobscura" "subobscura" NA "0" "1.66" "0.96212121212121215" NA NA NA NA "0.95454545454545459" "0.96969696969696972" NA NA NA NA NA NA "none/none" NA NA "4061961" "11771198" "0.25654772998869" "0.74345227001131" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.58394160583941601" NA NA "0.37956204379562042" NA
"persimilis" "bifasciata Japan" NA "0" "1.95" "0.97499999999999998" NA NA NA NA "0.9555555555555556" "0.99444444444444446" NA NA NA NA NA NA "none/none" NA NA "624127" "490302" "0.560041958707105" "0.439958041292895" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.55013550135501355" NA NA "0.42547425474254741" NA
"persimilis" "subobscura" NA "0" "1.66" "0.99137931034482762" NA NA NA NA "0.98275862068965514" "1" NA NA NA NA NA NA "none/none" NA NA "624127" "11771198" "0.050351806023642" "0.949648193976358" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.62393162393162394" NA "0" "0.36752136752136755" NA
"imaii" "persimilis" NA "0" "1.95" "0.97580645161290325" NA NA NA NA "1" "0.95161290322580649" NA NA NA NA NA NA "?" NA NA "101592" "624127" "0.139988067006651" "0.860011932993349" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.53543307086614178" "0" NA "0.44094488188976377" NA
"miranda" "bifasciata Japan" NA "0" "1.95" "0.98046875" NA NA NA NA "0.96875" "0.9921875" NA NA NA NA NA NA "none/none" NA NA "10440" "490302" "0.0208490599949675" "0.979150940005033" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.54406130268199238" NA NA "0.43678160919540232" NA
"imaii" "miranda" NA "0" "1.95" "0.96739130434782605" NA NA NA NA "0.97826086956521741" "0.95652173913043481" NA NA NA NA NA NA "?" NA NA "101592" "10440" "0.90681233933162" "0.0931876606683805" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.47368421052631576" NA NA "0.49473684210526314" NA
"ambigua" "persimilis" NA "0" "1.66" NA NA "1" "1" NA NA NA NA NA NA "0" "1" "1" "only pupae or sterile/only pupae or sterile" NA NA "4070172" "624127" "0.867045750600888" "0.132954249399112" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA NA NA NA NA NA
"ambigua" "pseudoobscura" NA "0" "1.66" NA NA "1" "1" NA NA NA NA NA NA "0" "1" "1" "only pupae/sterile, sterile" NA NA "4070172" "4061961" "0.500504849096787" "0.499495150903213" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA NA NA NA NA NA
"miranda" "subobscura" NA "0" "1.95" "0.94565217391304346" NA NA NA NA "0.91304347826086962" "0.97826086956521741" NA NA NA NA NA NA "none/none" NA NA "10440" "11771198" "0.000886124662801556" "0.999113875337198" "0" NA "Dobzhansky et al. 1968;  Lakovaara et al. 1976; Watabe et al. 1997" NA "0.50515463917525771" NA NA "0.44329896907216493" NA
